BEGIN_DATE_TIME,EVENT_TYPE,CZ_NAME,STATE,CFSDate,IncidentType,ZIP Code
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,27R - LARCENY THEFT â€“ RETAIL,33125
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,27 - LARCENY THEFT,33130
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,28 - VANDALISM,33125
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,22 - STOLEN VEHICLE,33150
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,26 - BURGLARY,33135
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,28 - VANDALISM,33132
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,27R - LARCENY THEFT â€“ RETAIL,33132
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,27R - LARCENY THEFT â€“ RETAIL,33137
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,27 - LARCENY THEFT,33127
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,27R - LARCENY THEFT â€“ RETAIL,33132
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,22 - STOLEN VEHICLE,33144
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,22 - STOLEN VEHICLE,33142
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,27 - LARCENY THEFT,33142
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33136
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,28 - VANDALISM,33130
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33130
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,27R - LARCENY THEFT â€“ RETAIL,33130
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,27 - LARCENY THEFT,33132
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33125
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,22 - STOLEN VEHICLE,33142
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,27R - LARCENY THEFT â€“ RETAIL,33125
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,27R - LARCENY THEFT â€“ RETAIL,33127
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,27 - LARCENY THEFT,33136
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,27 - LARCENY THEFT,33126
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,27 - LARCENY THEFT,33150
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,27R - LARCENY THEFT â€“ RETAIL,33142
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,28 - VANDALISM,33130
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33142
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,22 - STOLEN VEHICLE,33126
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,28 - VANDALISM,33130
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,26 - BURGLARY,33127
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33136
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33135
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,22 - STOLEN VEHICLE,33132
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,27 - LARCENY THEFT,33130
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,27 - LARCENY THEFT,33131
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33136
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,28 - VANDALISM,33138
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33137
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,28 - VANDALISM,33127
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,22 - STOLEN VEHICLE,33150
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,27R - LARCENY THEFT â€“ RETAIL,33125
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,27 - LARCENY THEFT,33130
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,28 - VANDALISM,33125
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,22 - STOLEN VEHICLE,33150
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,26 - BURGLARY,33135
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,28 - VANDALISM,33132
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,27R - LARCENY THEFT â€“ RETAIL,33132
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,27R - LARCENY THEFT â€“ RETAIL,33137
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,27 - LARCENY THEFT,33127
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,27R - LARCENY THEFT â€“ RETAIL,33132
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,22 - STOLEN VEHICLE,33144
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,22 - STOLEN VEHICLE,33142
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,27 - LARCENY THEFT,33142
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33136
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,28 - VANDALISM,33130
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33130
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,27R - LARCENY THEFT â€“ RETAIL,33130
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,27 - LARCENY THEFT,33132
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33125
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,22 - STOLEN VEHICLE,33142
